Neighborhood,cluster,geometry
Back Bay,1,"POLYGON ((-71.0730775 42.3476309, -71.0737658 42.3476389, -71.07615699999999 42.3476467, -71.07606370000001 42.3474461, -71.0760222 42.3473381, -71.0763769 42.3472993, -71.078018 42.3458315, -71.0793596 42.3447459, -71.0800239 42.3441797, -71.080647 42.3436519, -71.0812909 42.3431251, -71.08195600000001 42.3425974, -71.0826105 42.34207749999999, -71.08346769999999 42.342691, -71.0840845 42.342205, -71.08498299999999 42.3427607, -71.08304 42.3443279, -71.0817564 42.3453783, -71.08233989999999 42.3457556, -71.084523 42.34606449999999, -71.08502540000001 42.3467357, -71.085317 42.3473311, -71.0854825 42.34771469999999, -71.0855574 42.3478478, -71.08602429999999 42.347737, -71.0875499 42.3473371, -71.08774 42.3472772, -71.08794090000001 42.347621, -71.0879795 42.3477646, -71.0919176 42.3478464, -71.09237640000001 42.3478258, -71.0925443 42.3480696, -71.092792 42.3487798, -71.0928061 42.3491842, -71.0928158 42.34991669999999, -71.0927709 42.3505724, -71.0951601 42.350563, -71.0938603 42.3507623, -71.0928607 42.3511616, -71.0930843 42.3515339, -71.093819 42.3537042, -71.0923813 42.3540851, -71.08989 42.3547447, -71.0775132 42.3586454, -71.0753685 42.356019, -71.0750462 42.355329, -71.0733651 42.3557841, -71.0733051 42.3557806, -71.07304499999999 42.3552808, -71.0725101 42.3554591, -71.07236779999999 42.3552633, -71.0722525 42.3550426, -71.07206170000001 42.3546466, -71.0718775 42.3542673, -71.071501 42.3534889, -71.07109440000001 42.3526785, -71.0707077 42.3519007, -71.0704672 42.3513993, -71.0702794 42.35106799999999, -71.06988339999999 42.35015679999999, -71.0722634 42.3495455, -71.0720444 42.3491053, -71.07179240000001 42.34866509999999, -71.0726703 42.3479859, -71.0730775 42.3476309))"
Beacon Hill,1,"POLYGON ((-71.0775132 42.3586454, -71.0765004 42.359248, -71.0758977 42.3604421, -71.07570440000001 42.3614742, -71.0730823 42.36133819999999, -71.07248319999999 42.3612897, -71.07140879999999 42.3611781, -71.0703599 42.36116239999999, -71.06976160000001 42.36116199999999, -71.0694529 42.3611645, -71.0687174 42.361159, -71.06834749999999 42.3611496, -71.06787529999998 42.3611692, -71.0668924 42.3611779, -71.0663869 42.3611502, -71.0659857 42.3611495, -71.0651312 42.3611633, -71.0645629 42.3611691, -71.0641438 42.3611631, -71.06374259999998 42.36116319999999, -71.0634026 42.3611691, -71.0628856 42.36118849999999, -71.06225999999999 42.3611623, -71.0612582 42.3609436, -71.0616601 42.3591631, -71.06166020000001 42.358763, -71.0616593 42.3583629, -71.06135999999998 42.35826219999999, -71.0604931 42.3579869, -71.06106680000001 42.35737249999999, -71.0612665 42.3571568, -71.0617467 42.3567017, -71.0619859 42.3565012, -71.0622159 42.3562543, -71.062864 42.3556286, -71.06332260000001 42.3551581, -71.0640648 42.3537612, -71.0642106 42.35338309999999, -71.0644714 42.35265, -71.0645658 42.3523803, -71.0658614 42.3524654, -71.06719779999999 42.3525727, -71.0674592 42.3526343, -71.0692035 42.3522641, -71.0707077 42.3519007, -71.07109440000001 42.3526785, -71.071501 42.3534889, -71.0718775 42.3542673, -71.07206170000001 42.3546466, -71.0722525 42.3550426, -71.07236779999999 42.3552633, -71.0725101 42.3554591, -71.07304499999999 42.3552808, -71.0733051 42.3557806, -71.0733651 42.3557841, -71.0750462 42.355329, -71.0753685 42.356019, -71.0775132 42.3586454))"
Brighton,2,"POLYGON ((-71.1676932 42.3600913, -71.1668559 42.3600596, -71.1661099 42.3598892, -71.1654772 42.3595245, -71.1649544 42.3590892, -71.1644802 42.3587551, -71.16388929999998 42.3585967, -71.1632963 42.3585267, -71.162711 42.3585139, -71.16230090000001 42.3585696, -71.16182779999998 42.3587081, -71.16139509999999 42.359029, -71.16096520000001 42.3593128, -71.1605382 42.359505, -71.15976869999999 42.3597982, -71.159211 42.3599167, -71.1585729 42.359968, -71.1575271 42.3599722, -71.156149 42.3598578, -71.1554921 42.35986599999999, -71.1548664 42.3599444, -71.1542221 42.3600721, -71.1529955 42.3604865, -71.15235369999999 42.3606861, -71.15171290000001 42.3607729, -71.15016879999999 42.3609352, -71.1490843 42.3610226, -71.148516 42.3610779, -71.1480361 42.3612325, -71.1475871 42.3614862, -71.1469989 42.36196429999999, -71.14651480000001 42.362388, -71.14606669999999 42.362828, -71.1456879 42.363385, -71.1453917 42.3639586, -71.1450687 42.3643867, -71.14483130000001 42.3646204, -71.1445829 42.3648023, -71.14431329999999 42.3649287, -71.1439845 42.3650161, -71.143591 42.365069, -71.1432284 42.3650661, -71.1429095 42.3650314, -71.142567 42.3649579, -71.1411792 42.3645791, -71.14081599999999 42.36450399999999, -71.1404429 42.3644539, -71.1400864 42.3644616, -71.1397544 42.3645131, -71.1394288 42.3646079, -71.13911520000001 42.36473489999999, -71.1388237 42.3648812, -71.1385659 42.3650724, -71.13685630000001 42.36664469999999, -71.13642710000001 42.3669147, -71.1360543 42.3671087, -71.13566 42.3672678, -71.1352193 42.3674295, -71.13473569999999 42.3675886, -71.13422389999999 42.3677813, -71.1337216 42.3680056, -71.1330856 42.3683657, -71.1325422 42.3687364, -71.1321208 42.3691225, -71.1318955 42.36937389999999, -71.1317839 42.3696155, -71.13176219999998 42.3698632, -71.1317987 42.3701206, -71.1318741 42.3703812, -71.13199659999999 42.3706549, -71.13220579999999 42.37093749999999, -71.133011 42.3718403, -71.1331165 42.3720154, -71.13317979999999 42.3722302, -71.13319989999999 42.3724518, -71.1331457 42.3726644, -71.1329818 42.3729151, -71.13277100000001 42.3731277, -71.13253469999999 42.3733407, -71.13221069999999 42.3735454, -71.1318349 42.3737225, -71.1314213 42.37383749999999, -71.13096590000001 42.3739177, -71.130533 42.3739579, -71.13008739999999 42.3739696, -71.1296543 42.3739603, -71.1292321 42.3739052, -71.1288332 42.3738194, -71.12841210000001 42.3736669, -71.1280522 42.37349069999999, -71.12763 42.3732658, -71.12723680000001 42.3730207, -71.1268098 42.3727003, -71.12645550000001 42.3724149, -71.1261406 42.3721076, -71.1258922 42.3717907, -71.12560790000001 42.3713476, -71.1249018 42.370096, -71.1246628 42.3697805, -71.1243565 42.3695221, -71.1239915 42.3693071, -71.12352989999999 42.3691, -71.1230262 42.368869, -71.1226906 42.3687707, -71.1222875 42.3687116, -71.1218709 42.3686871, -71.1214294 42.3687124, -71.11968589999999 42.3688763, -71.119389 42.3688616, -71.11908630000001 42.3688233, -71.1187745 42.3687471, -71.11848120000001 42.3686515, -71.11821969999998 42.3685371, -71.1180286 42.3684289, -71.117857 42.3682851, -71.1177204 42.3681236, -71.1176032 42.3679576, -71.11715479999999 42.3672252, -71.11707319999998 42.3670487, -71.1170171 42.3668909, -71.1169656 42.3667053, -71.1169278 42.3664988, -71.1169074 42.3662596, -71.11686109999999 42.3634869, -71.1168512 42.3631372, -71.116714 42.36094779999999, -71.1166867 42.360699, -71.1165422 42.35954009999999, -71.11653010000001 42.3593009, -71.11654969999999 42.35907, -71.1165998 42.3588286, -71.11668760000001 42.3585509, -71.1170714 42.3574303, -71.1171117 42.357226, -71.11713669999999 42.3569891, -71.117131 42.3567377, -71.117087 42.3564783, -71.11702339999999 42.35618119999999, -71.11690950000001 42.3558737, -71.1167636 42.3555249, -71.1163087 42.3549541, -71.11576799999999 42.3545101, -71.1149612 42.3540343, -71.11284969999998 42.3530195, -71.1113563 42.3526896, -71.1106199 42.3526558, -71.11096499999998 42.35031289999999, -71.1228725 42.3517706, -71.12296019999999 42.3513779, -71.1241417 42.35152289999999, -71.12522920000001 42.3508006, -71.1299396 42.3487026, -71.1331541 42.3469294, -71.1339359 42.3467671, -71.1353708 42.3458379, -71.1413601 42.34103529999999, -71.1416864 42.340676, -71.1419056 42.3400166, -71.1423858 42.3400589, -71.1442064 42.3400305, -71.146332 42.3386048, -71.14662730000001 42.3385443, -71.14650330000001 42.3381737, -71.14634309999998 42.3380392, -71.1461573 42.3374607, -71.1487176 42.3368388, -71.14833149999998 42.3358717, -71.15009329999999 42.3354366, -71.150096 42.3352214, -71.1503252 42.3350519, -71.1498531 42.3346863, -71.1570497 42.3303937, -71.15922779999998 42.3325393, -71.1593475 42.3326474, -71.1594922 42.3327652, -71.15965419999999 42.3328797, -71.1597979 42.3329706, -71.15998489999998 42.3330729, -71.16072870000001 42.3334389, -71.160888 42.3335133, -71.1610424 42.3335802, -71.16119849999998 42.3336401, -71.1613579 42.33369399999999, -71.1615353 42.3337428, -71.1617011 42.3337837, -71.1618569 42.3338099, -71.16200569999999 42.333833, -71.16216970000001 42.3338575, -71.16236360000001 42.3338738, -71.1625209 42.333881, -71.1626768 42.3338791, -71.162842 42.3338727, -71.16300200000001 42.333858, -71.1675183 42.3333657, -71.1695431 42.338018, -71.1664766 42.3398248, -71.1748236 42.350309, -71.17400979999999 42.3534772, -71.1728626 42.3546849, -71.17239290000001 42.3551793, -71.1716062 42.3559991, -71.1714027 42.3562112, -71.17115440000001 42.3564707, -71.16977869999999 42.3579087, -71.1686358 42.3591014, -71.1676932 42.3600913))"
Charlestown,1,"POLYGON ((-71.055527 42.387241, -71.0550185 42.3869889, -71.0472599 42.3853916, -71.04698430000001 42.3853498, -71.04864089999998 42.3835733, -71.04820479999999 42.38334339999999, -71.04786679999999 42.38306609999999, -71.0476603 42.3828382, -71.0474725 42.3824737, -71.0474564 42.3824222, -71.04751280000001 42.3817684, -71.04924819999999 42.3821171, -71.0494305 42.3820041, -71.0497792 42.3816277, -71.04975809999999 42.3815419, -71.0473089 42.381168, -71.0476817 42.3799119, -71.05092449999999 42.3804013, -71.05091109999999 42.3804587, -71.0511418 42.3804984, -71.05132949999999 42.3805895, -71.056348 42.38133249999999, -71.05728670000001 42.3814652, -71.05726799999999 42.38157019999999, -71.0570427 42.38157019999999, -71.05699709999999 42.3817109, -71.0572385 42.3817763, -71.0574235 42.3817961, -71.0574664 42.3817802, -71.0575013 42.3817149, -71.0575791 42.3815009, -71.0578151 42.3815366, -71.05785539999998 42.38150289999999, -71.0579063 42.3815009, -71.05795189999999 42.3815366, -71.05803779999999 42.3815524, -71.05814239999999 42.3815484, -71.0582309 42.3815187, -71.05831670000001 42.381489, -71.0584106 42.3814315, -71.058483 42.3813701, -71.0585232 42.3812968, -71.05854739999998 42.3812255, -71.05853399999999 42.3811462, -71.0585152 42.38104919999999, -71.05845890000001 42.3809778, -71.0584133 42.3809303, -71.05834350000001 42.3808926, -71.0582711 42.3809025, -71.0582148 42.38087479999999, -71.0582148 42.38082919999999, -71.0575415 42.3806014, -71.0575228 42.3806232, -71.05681730000001 42.38037549999999, -71.0549827 42.3800387, -71.0547681 42.38011, -71.05423709999998 42.3800605, -71.05417540000001 42.38004859999999, -71.0542344 42.3799357, -71.0535531 42.3799396, -71.05355039999999 42.379902, -71.05334929999999 42.3799258, -71.05331969999999 42.3799594, -71.0523893 42.379818, -71.0515575 42.3797019, -71.0509165 42.3794403, -71.0507609 42.3796543, -71.04922399999998 42.3794066, -71.04886999999999 42.3794522, -71.04874390000001 42.3793373, -71.0481609 42.3792433, -71.0474967 42.376926, -71.0476657 42.3768962, -71.049013 42.3780595, -71.04915990000001 42.3780671, -71.049284 42.3779894, -71.04929129999999 42.3778863, -71.0480811 42.3768286, -71.04814259999999 42.3767914, -71.0489697 42.3775169, -71.0491409 42.3773177, -71.04914309999999 42.3773151, -71.0491457 42.3773127, -71.0491485 42.3773105, -71.0491517 42.3773085, -71.04915509999999 42.3773068, -71.0491588 42.3773054, -71.0491626 42.3773042, -71.04916660000001 42.37730329999999, -71.0491706 42.37730269999999, -71.0491748 42.37730249999999, -71.0491789 42.37730249999999, -71.04918299999999 42.37730289999999, -71.0491871 42.37730349999999, -71.04919099999998 42.3773045, -71.0491948 42.3773058, -71.04919829999999 42.3773073, -71.0492017 42.3773091, -71.0492048 42.3773112, -71.0492076 42.3773134, -71.04921 42.3773159, -71.04921210000001 42.3773185, -71.0492138 42.3773213, -71.0493307 42.3771855, -71.04929780000001 42.3771449, -71.0492955 42.377137, -71.04929540000001 42.37712869999999, -71.0492991 42.3771173, -71.0494516 42.3769414, -71.0496333 42.3767753, -71.04977719999999 42.3764676, -71.0499804 42.3760383, -71.0486956 42.3752179, -71.0487305 42.3751862, -71.0488941 42.37504749999999, -71.0496424 42.3755231, -71.0501271 42.3752142, -71.0503264 42.3754002, -71.05038810000001 42.37543589999999, -71.0506965 42.3751942, -71.0486473 42.3734386, -71.0488995 42.3730522, -71.05055710000001 42.3744709, -71.0507126 42.37390419999999, -71.05054769999998 42.37377219999999, -71.0502733 42.3735391, -71.04996869999999 42.3732801, -71.04965780000001 42.37301589999999, -71.04931519999998 42.3727246, -71.049149 42.3725833, -71.049286 42.3723672, -71.04936789999999 42.3724377, -71.0496256 42.3726594, -71.0499028 42.3728979, -71.0501927 42.3731474, -71.0504583 42.3733759, -71.050769 42.3736427, -71.0507851 42.373494, -71.0511632 42.3732563, -71.04961219999998 42.3718916, -71.04994689999998 42.3716633, -71.05155929999999 42.3730554, -71.0520798 42.37272899999999, -71.05050610000001 42.3713381, -71.05069119999999 42.37121719999999, -71.05264649999999 42.37292729999999, -71.0527136 42.3728956, -71.0543685 42.3743084, -71.0544972 42.37437979999999, -71.05458040000001 42.3743917, -71.05467160000001 42.37436, -71.05471989999999 42.3743223, -71.05472519999999 42.3742649, -71.05468500000001 42.3741975, -71.0546129 42.374079, -71.05304039999999 42.3727245, -71.05314079999999 42.3726609, -71.0531668 42.37264439999999, -71.0528994 42.3724141, -71.053028 42.3723326, -71.0534607 42.3727053, -71.05336749999998 42.3727643, -71.0537636 42.3731055, -71.05383980000001 42.3730572, -71.05374529999999 42.3729758, -71.05396709999999 42.3728353, -71.05425459999999 42.3730829, -71.0544146 42.3729816, -71.0532504 42.3719433, -71.05347449999999 42.3718993, -71.0544156 42.3727148, -71.0545503 42.3727655, -71.0546616 42.3728593, -71.05472709999999 42.37281719999999, -71.05491069999999 42.3726993, -71.0550532 42.3726078, -71.0541261 42.3718041, -71.05474409999999 42.3717026, -71.0553819 42.3720099, -71.05597229999999 42.37229319999999, -71.0568664 42.3727231, -71.0570814 42.3726283, -71.0571186 42.3726472, -71.0572073 42.3726094, -71.0574041 42.3725256, -71.0573352 42.3724881, -71.0574325 42.3723633, -71.0575418 42.3724017, -71.0576966 42.372325, -71.0577084 42.3721981, -71.05613750000001 42.371467, -71.0560605 42.3714312, -71.056055 42.3713953, -71.057655 42.37067129999999, -71.05878289999998 42.3711912, -71.0591433 42.3713573, -71.0593192 42.3714058, -71.05964489999998 42.3713587, -71.05963029999999 42.3713372, -71.05992779999998 42.37119469999999, -71.0599687 42.3711564, -71.05998219999999 42.3711137, -71.05996719999999 42.3710783, -71.0595725 42.3706753, -71.05984239999999 42.3705197, -71.05997170000001 42.370651, -71.0602114 42.3705392, -71.0599552 42.37019709999999, -71.0602653 42.37006649999999, -71.0604074 42.370258, -71.06052409999999 42.37008419999999, -71.0608532 42.3699316, -71.0610448 42.369865, -71.0611543 42.369792, -71.0612168 42.36972329999999, -71.0612093 42.3696469, -71.0611239 42.3696602, -71.06110889999999 42.36961039999999, -71.0613099 42.3695706, -71.0612781 42.3694681, -71.06182699999999 42.3693597, -71.0642804 42.3691112, -71.06680299999999 42.371376, -71.0727282 42.3733227, -71.075447 42.380039, -71.08106600000001 42.3810299, -71.0742788 42.3905762, -71.0740706 42.390869, -71.0734817 42.3916973, -71.07303709999998 42.3910635, -71.067902 42.395008, -71.066658 42.39455, -71.07005789999999 42.389983, -71.0701601 42.3898457, -71.071045 42.388657, -71.066093 42.386368, -71.055527 42.387241))"
