date_time,"boston,ma_maxtempC","boston,ma_mintempC","boston,ma_totalSnow_cm","boston,ma_sunHour","boston,ma_uvIndex","boston,ma_moon_illumination","boston,ma_moonrise","boston,ma_moonset","boston,ma_sunrise","boston,ma_sunset","boston,ma_DewPointC","boston,ma_FeelsLikeC","boston,ma_HeatIndexC","boston,ma_WindChillC","boston,ma_WindGustKmph","boston,ma_cloudcover","boston,ma_humidity","boston,ma_precipMM","boston,ma_pressure","boston,ma_tempC","boston,ma_visibility","boston,ma_winddirDegree","boston,ma_windspeedKmph","boston,ma_location"
2016-02-01,15,5,0.0,7.1,3,34,01:32 AM,12:16 PM,07:58 AM,05:58 PM,6,7,9,7,26,56,82,0.0,1009,15,10,264,15,"boston,ma"
2016-02-02,9,0,0.0,8.7,2,26,02:28 AM,12:53 PM,07:57 AM,05:59 PM,1,4,5,4,10,16,78,0.0,1024,9,9,231,6,"boston,ma"
2016-02-03,14,1,0.0,5.2,2,18,03:25 AM,01:35 PM,07:56 AM,06:00 PM,6,5,7,5,34,75,90,7.0,1021,14,10,170,19,"boston,ma"
2016-02-04,14,6,0.0,8.4,3,11,04:21 AM,02:21 PM,07:55 AM,06:02 PM,9,10,11,10,17,82,90,2.3,1014,14,8,272,10,"boston,ma"
2016-02-05,5,-5,7.2,8.4,1,3,05:15 AM,03:15 PM,07:54 AM,06:03 PM,-0,-4,1,-4,26,68,93,11.1,1018,5,8,254,17,"boston,ma"
2016-02-06,1,-8,0.0,10.0,2,0,06:06 AM,04:15 PM,07:53 AM,06:04 PM,-3,-6,-2,-6,17,17,92,0.0,1026,1,10,245,10,"boston,ma"
2016-02-07,5,-6,0.0,10.0,2,0,06:53 AM,05:21 PM,07:52 AM,06:05 PM,0,-1,1,-1,14,27,94,0.0,1021,5,6,178,8,"boston,ma"
2016-02-08,2,-7,3.4,5.3,1,0,07:37 AM,06:29 PM,07:51 AM,06:07 PM,-5,-11,-4,-11,38,99,94,6.9,1010,2,7,65,25,"boston,ma"
2016-02-09,-3,-7,0.3,5.3,1,4,08:16 AM,07:41 PM,07:49 AM,06:08 PM,-5,-8,-5,-8,13,100,97,0.4,1005,-3,3,344,9,"boston,ma"
2016-02-10,1,-10,0.2,8.5,1,12,08:54 AM,08:53 PM,07:48 AM,06:09 PM,-4,-6,-3,-6,13,61,97,0.2,1002,1,2,219,7,"boston,ma"
2016-02-11,-4,-13,0.6,6.9,1,19,09:30 AM,10:05 PM,07:47 AM,06:11 PM,-8,-13,-7,-13,25,59,93,0.7,1008,-4,6,276,16,"boston,ma"
2016-02-12,-6,-16,0.1,8.5,1,27,10:06 AM,11:16 PM,07:46 AM,06:12 PM,-11,-15,-10,-15,14,49,91,0.2,1019,-6,8,247,10,"boston,ma"
2016-02-13,-6,-20,0.2,5.3,1,34,10:43 AM,No moonset,07:44 AM,06:13 PM,-12,-18,-11,-18,24,86,90,0.5,1013,-6,7,283,17,"boston,ma"
2016-02-14,-13,-23,0.0,10.7,2,42,11:23 AM,12:25 AM,07:43 AM,06:14 PM,-19,-26,-17,-26,21,28,88,0.0,1028,-13,10,299,15,"boston,ma"
2016-02-15,-1,-17,0.0,5.4,1,49,12:05 PM,01:34 AM,07:42 AM,06:16 PM,-11,-12,-9,-12,8,71,88,4.5,1033,-1,9,200,6,"boston,ma"
2016-02-16,11,1,0.0,6.9,2,57,12:51 PM,02:38 AM,07:40 AM,06:17 PM,7,4,7,4,39,89,99,6.0,1011,11,8,177,19,"boston,ma"
2016-02-17,6,-0,0.0,8.5,1,64,01:43 PM,03:38 AM,07:39 AM,06:18 PM,0,-0,3,-0,17,52,85,0.0,1012,6,9,295,10,"boston,ma"
2016-02-18,0,-3,0.1,8.5,2,72,02:37 PM,04:32 AM,07:37 AM,06:20 PM,-7,-5,-1,-5,19,33,67,0.1,1027,0,10,318,14,"boston,ma"
2016-02-19,3,-5,0.0,8.5,2,79,03:35 PM,05:22 AM,07:36 AM,06:21 PM,-8,-3,0,-3,12,38,54,0.0,1031,3,10,255,9,"boston,ma"
2016-02-20,12,1,0.0,8.5,2,87,04:34 PM,06:05 AM,07:35 AM,06:22 PM,5,4,7,4,29,67,87,1.1,1013,12,10,202,17,"boston,ma"
2016-02-21,10,4,0.0,8.5,3,95,05:35 PM,06:43 AM,07:33 AM,06:23 PM,4,5,7,5,20,40,81,0.1,1011,10,10,288,13,"boston,ma"
2016-02-22,7,-1,0.0,10.1,2,100,06:34 PM,07:17 AM,07:32 AM,06:25 PM,-4,1,3,1,10,38,64,0.0,1020,7,10,187,7,"boston,ma"
