reporting_area,lat,long,geom,reporting_cluster
296,42.32341874011012,-71.0815819677203,POINT(-71.0815819677203 42.32341874011012),417
297,42.321953175719415,-71.08374225645618,POINT(-71.08374225645618 42.321953175719415),417
298,42.322551416617145,-71.08698979414895,POINT(-71.08698979414895 42.322551416617145),152
299,42.32473310652171,-71.08751295043484,POINT(-71.08751295043484 42.32473310652171),152
3,42.3866759766304,-70.99963812288033,POINT(-70.99963812288033 42.3866759766304),434
30,42.36940912320354,-71.0352188538408,POINT(-71.0352188538408 42.36940912320354),120
300,42.32350552969236,-71.09188948128198,POINT(-71.09188948128198 42.32350552969236),356
301,42.325061078846204,-71.09541261335904,POINT(-71.09541261335904 42.325061078846204),459
302,42.32373381565126,-71.09823960990822,POINT(-71.09823960990822 42.32373381565126),216
303,42.31896759593409,-71.09916360550582,POINT(-71.09916360550582 42.31896759593409),43
304,42.31899392614874,-71.0967576983044,POINT(-71.0967576983044 42.31899392614874),437
305,42.32019416551154,-71.09050631278309,POINT(-71.09050631278309 42.32019416551154),452
306,42.31819973166301,-71.09406926533944,POINT(-71.09406926533944 42.31819973166301),40
307,42.31638817741398,-71.09491473535459,POINT(-71.09491473535459 42.31638817741398),40
308,42.31901137880211,-71.08776971891874,POINT(-71.08776971891874 42.31901137880211),349
309,42.319430244808004,-71.08406070861467,POINT(-71.08406070861467 42.319430244808004),14
31,42.373030269708046,-71.03268729116779,POINT(-71.03268729116779 42.373030269708046),16
310,42.31794380271779,-71.08456165285716,POINT(-71.08456165285716 42.31794380271779),14
311,42.31842050084124,-71.07982757762461,POINT(-71.07982757762461 42.31842050084124),449
312,42.31674745422679,-71.08930282154664,POINT(-71.08930282154664 42.31674745422679),190
313,42.31556786618372,-71.08512487859102,POINT(-71.08512487859102 42.31556786618372),458
314,42.31477496611827,-71.0905054268984,POINT(-71.0905054268984 42.31477496611827),190
315,42.31340036602261,-71.08680902064917,POINT(-71.08680902064917 42.31340036602261),112
316,42.31325241774037,-71.09224383058293,POINT(-71.09224383058293 42.31325241774037),329
317,42.31640912763494,-71.08614997448223,POINT(-71.08614997448223 42.31640912763494),458
318,42.30970793894297,-71.089720918734,POINT(-71.089720918734 42.30970793894297),131
319,42.30745655000577,-71.08731173631833,POINT(-71.08731173631833 42.30745655000577),131
32,42.368927406979864,-71.03293873288592,POINT(-71.03293873288592 42.368927406979864),120
320,42.31013188846094,-71.08446507353241,POINT(-71.08446507353241 42.31013188846094),155
321,42.31201681982116,-71.0826442901432,POINT(-71.0826442901432 42.31201681982116),155
322,42.314311886885854,-71.08181575024226,POINT(-71.08181575024226 42.314311886885854),372
323,42.31526470258065,-71.08154657478492,POINT(-71.08154657478492 42.31526470258065),372
324,42.31731589229966,-71.07643266515872,POINT(-71.07643266515872 42.31731589229966),409
325,42.315218247702944,-71.07667343531955,POINT(-71.07667343531955 42.315218247702944),409
326,42.312569937217695,-71.07768254078312,POINT(-71.07768254078312 42.312569937217695),485
327,42.314614929932574,-71.07399906859406,POINT(-71.07399906859406 42.314614929932574),36
328,42.310482450845875,-71.07523890974157,POINT(-71.07523890974157 42.310482450845875),289
329,42.30853056619334,-71.08001231114497,POINT(-71.08001231114497 42.30853056619334),424
33,42.3665799605582,-71.03270995839536,POINT(-71.03270995839536 42.3665799605582),403
330,42.305580299199015,-71.08336614247023,POINT(-71.08336614247023 42.305580299199015),21
331,42.31264735335384,-71.06955830310652,POINT(-71.06955830310652 42.31264735335384),169
